task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
6092	90/b5d2ab	1714358	analyze_features (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (7))	CACHED	0	2018-12-06 01:34:59.137	10s	442ms	76.6%	14.8 MB	179.8 MB	2.1 MB	0
5305	53/62bdc3	1713571	analyze_features (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:27:49.265	10s	569ms	53.6%	18.1 MB	205.1 MB	2.8 MB	0
5307	f1/834039	1713574	analyze_features (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (2))	CACHED	0	2018-12-06 01:27:49.392	10s	527ms	41.5%	25.7 MB	319.8 MB	3.1 MB	0
5941	2f/8afaf1	1714207	analyze_features (LARS, 20 causal (8))	CACHED	0	2018-12-06 01:33:09.218	5.1s	265ms	78.2%	6.7 MB	129.4 MB	544.7 KB	0
5224	23/4e7af1	1713489	prediction (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (1))	CACHED	0	2018-12-06 01:27:09.306	9.9s	3s	74.4%	29.5 MB	339.7 MB	3.7 MB	0
6480	c1/359fb2	1714746	prediction (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (9))	CACHED	0	2018-12-06 01:37:54.411	10.1s	2.7s	65.8%	35.3 MB	389.7 MB	4.5 MB	0
6090	52/10e8ce	1714356	prediction (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (7))	CACHED	0	2018-12-06 01:34:54.540	9.9s	2.8s	88.5%	41.6 MB	446.8 MB	6.1 MB	32 B
5246	26/583806	1713511	prediction (HSIC_lasso-B=10-M=3, n_jobs=1, 20 causal (1))	CACHED	0	2018-12-06 01:27:19.110	9.9s	2.6s	83.3%	37.1 MB	410 MB	5.1 MB	0
5537	23/4e6da0	1713803	analyze_features (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (3))	CACHED	0	2018-12-06 01:29:49.345	10s	587ms	46.9%	26.3 MB	320.2 MB	3.5 MB	0
5539	57/267443	1713805	analyze_features (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (3))	CACHED	0	2018-12-06 01:29:49.437	10s	538ms	51.5%	25.7 MB	319.9 MB	3 MB	0
5897	a5/7b0830	1714163	analyze_features (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (6))	CACHED	0	2018-12-06 01:32:39.164	4.9s	318ms	70.6%	4.4 MB	327.9 MB	201 KB	0
6785	d3/87afc2	1715051	analyze_features (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (9))	CACHED	0	2018-12-06 01:38:55.836	9.7s	452ms	88.0%	15.8 MB	187.9 MB	2.3 MB	0
